noise_level,noise_label,translation_sigma_mm,rotation_sigma_deg_input,method,trials,successful_trials,translation_error_mm_mean,translation_error_mm_std,translation_error_mm_median,rotation_error_deg_mean,rotation_error_deg_std,rotation_error_deg_median,mean_target_error_mm_mean,runtime_ms_mean,failure_rate
0,ideal,0.0,0.0,ANDREFF,10,10,1.4246637548359862e-13,8.654466324988627e-14,1.1404136802195365e-13,2.085780611999195e-14,1.3916073186654633e-14,1.56114460256032e-14,2.7446231952779454e-13,11.077373100124532,0.0
0,ideal,0.0,0.0,DANIILIDIS,10,10,1.0715486790061048e-13,5.564338595697953e-14,1.134402934668095e-13,1.4653942411514037e-14,6.91122046459322e-15,1.3333030584511384e-14,1.9398709566689096e-13,9.184267900036502,0.0
0,ideal,0.0,0.0,HORAUD,10,10,1.1475106355686018e-13,7.093880139526878e-14,1.208555634462184e-13,2.6505833153152013e-14,1.115131478496281e-14,2.456886755473538e-14,2.4299528885006183e-13,9.330912099994748,0.0
0,ideal,0.0,0.0,PARK,10,10,1.5167616529665531e-13,8.538134486520191e-14,1.2275025158937115e-13,2.413700630414979e-14,1.4026601543543711e-14,2.1647620559741068e-14,3.3543644382929554e-13,9.522034299970983,0.0
0,ideal,0.0,0.0,TSAI,10,10,1.4892208982943578e-13,7.733238982912087e-14,1.472107038179774e-13,2.0648035086577194e-14,1.2861685004066218e-14,1.665367107747319e-14,2.3433246287734565e-13,8.752703499976633,0.0
1,very-low,0.1,0.05,ANDREFF,10,10,0.03889069719061291,0.030754454779000334,0.026330835977739178,0.011425990964326053,0.004121337146583839,0.010832252345422276,0.06960453775261956,9.731224500137614,0.0
1,very-low,0.1,0.05,DANIILIDIS,10,10,0.03605879200195407,0.023408903470301445,0.027529940676950818,0.011356989170835444,0.003997567612667533,0.010784672934606224,0.0665285421057143,8.734729600018909,0.0
1,very-low,0.1,0.05,HORAUD,10,10,0.03761409614650395,0.027573516220829958,0.024965594229705124,0.011821296834010031,0.004251658815795679,0.011236016315818198,0.06989760763448508,8.642943099948752,0.0
1,very-low,0.1,0.05,PARK,10,10,0.03745661044814261,0.027204911437636575,0.024630637238305407,0.011587344532118514,0.004026094101462197,0.011203959333277056,0.06850891352881638,9.15757599977951,0.0
1,very-low,0.1,0.05,TSAI,10,10,0.04341938953512175,0.021178668557266144,0.04913639844727821,0.013102057663623485,0.005985444776796213,0.0118843620158069,0.08131333861598626,8.323088300130621,0.0
2,low,0.25,0.1,ANDREFF,10,10,0.10142339543940423,0.028076056825664858,0.10173088450995793,0.016885827473571327,0.008032835908389718,0.020122761824928306,0.13939299234221217,9.918227900107013,0.0
2,low,0.25,0.1,DANIILIDIS,10,10,0.0899894638854871,0.027374801762333263,0.0973266753306889,0.016814114600243648,0.007865670067313882,0.020309290011262505,0.12554337902105997,8.936880600049335,0.0
2,low,0.25,0.1,HORAUD,10,10,0.09519868452117877,0.025642075586985242,0.09968326694606874,0.017024016841078286,0.008190731987258938,0.020576343686589917,0.13363500533095715,8.65387579997332,0.0
2,low,0.25,0.1,PARK,10,10,0.09544922217815437,0.02584725399243216,0.09995199114519865,0.017725668102227574,0.007124761576394916,0.020073227030691913,0.13477746122726275,9.296628200081614,0.0
2,low,0.25,0.1,TSAI,10,10,0.0875708551688733,0.03139935339514622,0.08756245987351335,0.01937780803986689,0.012089674153188885,0.01973263660400073,0.14591525669978775,8.500507000007929,0.0
3,moderate,0.5,0.25,ANDREFF,10,10,0.3156541597263623,0.14455202701571426,0.29566796358176656,0.04612775331305215,0.016505351567567276,0.040339705410744664,0.38697902973852333,9.705894899889245,0.0
