noise_level,noise_label,translation_sigma_mm,rotation_sigma_deg_input,trial,num_poses,trajectory_seed,noise_seed,method,success,runtime_ms,error_message,translation_error_mm,rotation_error_deg,mean_target_error_mm,max_target_error_mm,mean_target_rotation_error_deg,max_target_rotation_error_deg
0,ideal,0.0,0.0,0,25,10000,100000,TSAI,True,12.582439999277995,,1.939479807224432e-13,1.8556817225359695e-14,2.5322434608783535e-13,4.3088240465227813e-13,1.8720639914635897e-14,2.3845497550670518e-14
0,ideal,0.0,0.0,0,25,10000,100000,PARK,True,12.436406999768224,,1.0245154072492241e-13,1.7630901772295352e-14,3.920690910211126e-13,6.550551057807856e-13,1.8319887827442343e-14,2.5542341476000755e-14
0,ideal,0.0,0.0,0,25,10000,100000,HORAUD,True,15.303517000575084,,3.179800655392251e-14,3.922952384919702e-14,3.105903706886017e-13,4.997930709674e-13,4.1133275883860023e-14,4.5461242360556595e-14
0,ideal,0.0,0.0,0,25,10000,100000,ANDREFF,True,23.440887999640836,,1.8990270721780402e-13,5.5160663109651845e-14,3.4209696597910387e-13,9.023764073195417e-13,5.4183494628608405e-14,5.784101628204562e-14
0,ideal,0.0,0.0,0,25,10000,100000,DANIILIDIS,True,11.220524000236765,,1.7416485473280469e-13,1.3411262781393515e-14,2.1279837576850608e-13,3.3422138886441676e-13,1.3145830150822529e-14,1.87405609150046e-14
0,ideal,0.0,0.0,1,25,10001,100001,TSAI,True,8.220175999667845,,2.1274245860452972e-13,1.402586679601852e-14,2.6390557197294093e-13,5.331671968450009e-13,1.4920236197507657e-14,1.8913769083085117e-14
0,ideal,0.0,0.0,1,25,10001,100001,PARK,True,9.206509000250662,,7.110250420355456e-14,7.391702022361186e-15,2.985584716516366e-13,8.40494558936129e-13,7.149474808663753e-15,1.0461253117131467e-14
0,ideal,0.0,0.0,1,25,10001,100001,HORAUD,True,9.947956000360136,,7.757919228897728e-14,1.9711772390594277e-14,2.1155440961769712e-13,3.152427400121712e-13,2.0057928353407135e-14,2.4857938458119696e-14
0,ideal,0.0,0.0,1,25,10001,100001,ANDREFF,True,9.587882999767317,,3.0515358888783016e-13,6.480741632934866e-15,3.0037552581820796e-13,5.959374814064024e-13,8.484513390168686e-15,1.4140085852863828e-14
0,ideal,0.0,0.0,1,25,10001,100001,DANIILIDIS,True,10.394168999482645,,1.0198049666328887e-13,4.0684521643021055e-15,1.6722782544394774e-13,2.897767167584095e-13,5.6593409648135085e-15,8.54280132490494e-15
