motion_regime,trial,num_poses,translation_sigma_mm,rotation_sigma_deg_input,method,success,catastrophic,runtime_ms,error_message,quality,recommendation,num_relative_motions,max_relative_rotation_deg,mean_relative_rotation_deg,translation_baseline_mm,rotation_axis_diversity_ratio,rotation_design_rank,expected_rotation_design_rank,smallest_informative_singular_value,translation_error_mm,rotation_error_deg,mean_target_error_mm,max_target_error_mm,mean_target_rotation_error_deg,max_target_rotation_error_deg
diverse,0,25,0.5,0.25,TSAI,True,False,8.490291999805777,,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,24,168.43318503386644,91.36341474746418,882.0260386757817,0.7544857271592612,8,8,5.2316296434842755,0.31201275945399204,0.007876518283771703,0.3384187304242387,0.3914664528545237,0.007876518283771226,0.007876518283773806
diverse,0,25,0.5,0.25,PARK,True,False,8.852447999743163,,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,24,168.43318503386644,91.36341474746418,882.0260386757817,0.7544857271592612,8,8,5.2316296434842755,0.3034152936243711,0.03376191730592641,0.41374349601624805,0.5840760939377545,0.03376191730592504,0.03376191730593358
diverse,0,25,0.5,0.25,HORAUD,True,False,9.103668000534526,,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,24,168.43318503386644,91.36341474746418,882.0260386757817,0.7544857271592612,8,8,5.2316296434842755,0.3090399530247281,0.02747045307649353,0.39481030533889566,0.5352785081562765,0.027470453076493116,0.02747045307649929
diverse,0,25,0.5,0.25,ANDREFF,True,False,9.274145999370376,,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,24,168.43318503386644,91.36341474746418,882.0260386757817,0.7544857271592612,8,8,5.2316296434842755,0.26022760956158464,0.022489143106352413,0.3296349675739516,0.43519352100097647,0.022489143106351372,0.022489143106355584
diverse,0,25,0.5,0.25,DANIILIDIS,True,False,11.832725999738614,,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,24,168.43318503386644,91.36341474746418,882.0260386757817,0.7544857271592612,8,8,5.2316296434842755,0.3005124591158739,0.022102200823114652,0.3642109403827151,0.46934110611142676,0.022102200823115984,0.02210220082311935
diverse,1,25,0.5,0.25,TSAI,True,False,8.838722999826132,,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,24,172.12899733852106,93.60439537367999,849.3822976263567,0.5769396921683805,8,8,4.926470885295768,0.2755972523215139,0.06187016258464503,0.39547165733471956,0.6825188790015538,0.06187016258464623,0.06187016258464958
diverse,1,25,0.5,0.25,PARK,True,False,10.126688000127615,,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,24,172.12899733852106,93.60439537367999,849.3822976263567,0.5769396921683805,8,8,4.926470885295768,0.23469940839054465,0.07393317131744603,0.4762855378218705,0.8108277560920513,0.07393317131744578,0.07393317131744961
diverse,1,25,0.5,0.25,HORAUD,True,False,9.014782000122068,,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,24,172.12899733852106,93.60439537367999,849.3822976263567,0.5769396921683805,8,8,4.926470885295768,0.24119828531836737,0.07136228346002897,0.460286040101337,0.7862639534534815,0.07136228346003037,0.07136228346003463
diverse,1,25,0.5,0.25,ANDREFF,True,False,10.395260999757738,,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,24,172.12899733852106,93.60439537367999,849.3822976263567,0.5769396921683805,8,8,4.926470885295768,0.3421345573348479,0.06681797559298158,0.4162029666553472,0.7629342821827062,0.06681797559298194,0.06681797559298737
diverse,1,25,0.5,0.25,DANIILIDIS,True,False,9.706804999950691,,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,24,172.12899733852106,93.60439537367999,849.3822976263567,0.5769396921683805,8,8,4.926470885295768,0.1254618012076055,0.06749177548501537,0.4415002352885415,0.7036478754973021,0.06749177548501517,0.06749177548501918
diverse,2,25,0.5,0.25,TSAI,True,False,8.827261999613256,,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,24,151.7231164659421,88.55988609179754,876.1263975020677,0.702615359967064,8,8,4.989883729246937,0.11810715176434344,0.09196815320757304,0.46363512333975576,0.8545888158675342,0.09196815320757153,0.09196815320757788
diverse,2,25,0.5,0.25,PARK,True,False,10.343464000470703,,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,24,151.7231164659421,88.55988609179754,876.1263975020677,0.702615359967064,8,8,4.989883729246937,0.2570358498137762,0.09252785642106817,0.5252270132660452,0.949868888345402,0.0925278564210657,0.09252785642107035
