trial,num_poses,translation_sigma_mm,rotation_sigma_deg_input,runtime_ms_total,quality,recommendation,num_relative_motions,max_relative_rotation_deg,mean_relative_rotation_deg,translation_baseline_mm,rotation_axis_diversity_ratio,rotation_design_rank,expected_rotation_design_rank,smallest_informative_singular_value,method,camera_name,link_name,translation_error_mm,rotation_error_deg,mean_target_error_mm,max_target_error_mm,mean_target_rotation_error_deg,mean_cross_camera_target_disagreement_mm,max_cross_camera_target_disagreement_mm
0,30,0.5,0.25,14.23188199987635,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,178.73596905694336,106.26575998638377,0.0,0.3360177734578389,8,8,4.993035190217501,PARK,upper_arm_camera,upper_arm,0.15791105201910702,0.059067108560090134,0.7702989540565522,0.9602278170779757,0.05906710856009091,0.8846726511041914,2.038244802321473
0,30,0.5,0.25,14.23188199987635,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,177.9526650586131,124.76484372837376,679.1820981217019,0.6267797741261366,8,8,6.531112249668006,PARK,forearm_camera,forearm,0.12330752783875083,0.024776231809157834,0.33570310840243095,0.5028990706268093,0.024776231809157823,0.8846726511041914,2.038244802321473
0,30,0.5,0.25,14.23188199987635,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.86693369797734,135.40022986926743,1454.9087332267125,0.7734099170051649,8,8,6.889645050677555,PARK,wrist_camera,gripper,0.20409068985327547,0.06216855642748236,0.7744617850876255,1.3727072396409972,0.06216855642748185,0.8846726511041914,2.038244802321473
1,30,0.5,0.25,13.509181999324937,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,178.11007284429425,103.15662729826859,0.0,0.4634994487582173,8,8,5.0707196650096416,PARK,upper_arm_camera,upper_arm,0.18632978141067225,0.04484056374835566,0.5328791118924529,0.7467394153510007,0.04484056374835494,0.7571687863633775,1.5981810084720982
1,30,0.5,0.25,13.509181999324937,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,178.4275862626361,125.32217980797697,679.2470706504872,0.7402095017965661,8,8,5.885332600893337,PARK,forearm_camera,forearm,0.20401469818561635,0.03616885026783492,0.38359975799007906,0.6976235087715817,0.0361688502678345,0.7571687863633775,1.5981810084720982
1,30,0.5,0.25,13.509181999324937,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,174.20168656076655,119.97206410528766,1477.4568344626273,0.6828832101799677,8,8,6.90510163039688,PARK,wrist_camera,gripper,0.28847024307907354,0.03439335175076459,0.6746199253401274,1.026289818284636,0.034393351750764106,0.7571687863633775,1.5981810084720982
2,30,0.5,0.25,13.504311999895435,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.14918884024758,116.03267989689505,0.0,0.38628070338983467,8,8,5.29297039042938,PARK,upper_arm_camera,upper_arm,0.2154282509392524,0.045330858992082154,0.6201265870182697,0.764809459682113,0.04533085899208227,0.8812166063515532,1.8511674138657996
2,30,0.5,0.25,13.504311999895435,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.37393049407004,125.25194098310357,679.9675771030434,0.5858786656256673,8,8,5.250250671837138,PARK,forearm_camera,forearm,0.25090706119191564,0.05536398832709803,0.6680625543337685,1.2676546542141,0.05536398832709797,0.8812166063515532,1.8511674138657996
2,30,0.5,0.25,13.504311999895435,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.43136821829825,144.8299233883521,1498.4614931086503,0.636431063660068,8,8,6.67945821599132,PARK,wrist_camera,gripper,0.28005574494478436,0.03203133282709479,0.4157969350641436,0.7325917587339466,0.03203133282709462,0.8812166063515532,1.8511674138657996
3,30,0.5,0.25,13.478264000696072,GOOD,Motion has broad multi-axis rotational excitation; proceed with solver comparison and residual validation.,29,179.04579520457997,99.5023494469705,0.0,0.4038010300287465,8,8,4.879348241185203,PARK,upper_arm_camera,upper_arm,0.279676516138076,0.054623942263868276,0.7226769937953855,1.0152407435933253,0.05462394226386814,1.3024769943477028,2.718037963411816
