scenario,trial,drift_camera,drift_translation_mm,drift_rotation_deg,detected,detection_delay_frames,false_alarm,localization_correct,earliest_detected_camera
none,0,,0.0,0.0,False,,False,,
none,1,,0.0,0.0,False,,False,,
none,2,,0.0,0.0,False,,False,,
none,3,,0.0,0.0,False,,False,,
none,4,,0.0,0.0,False,,False,,
none,5,,0.0,0.0,False,,False,,
none,6,,0.0,0.0,False,,False,,
none,7,,0.0,0.0,False,,False,,
none,8,,0.0,0.0,False,,False,,
none,9,,0.0,0.0,False,,False,,
none,10,,0.0,0.0,False,,False,,
none,11,,0.0,0.0,False,,False,,
none,12,,0.0,0.0,False,,False,,
none,13,,0.0,0.0,False,,False,,
none,14,,0.0,0.0,False,,False,,
none,15,,0.0,0.0,False,,False,,
none,16,,0.0,0.0,False,,False,,
none,17,,0.0,0.0,False,,False,,
none,18,,0.0,0.0,False,,False,,
none,19,,0.0,0.0,False,,False,,
small,0,upper_arm_camera,1.0,0.2,False,,False,False,
small,1,forearm_camera,1.0,0.2,False,,False,False,
small,2,wrist_camera,1.0,0.2,True,7.0,False,True,wrist_camera
small,3,upper_arm_camera,1.0,0.2,True,6.0,False,True,upper_arm_camera
small,4,forearm_camera,1.0,0.2,True,22.0,False,True,forearm_camera
small,5,wrist_camera,1.0,0.2,True,6.0,False,True,wrist_camera
small,6,upper_arm_camera,1.0,0.2,True,11.0,False,True,upper_arm_camera
small,7,forearm_camera,1.0,0.2,True,0.0,False,True,forearm_camera
small,8,wrist_camera,1.0,0.2,True,20.0,False,True,wrist_camera
small,9,upper_arm_camera,1.0,0.2,True,0.0,False,True,upper_arm_camera
small,10,forearm_camera,1.0,0.2,True,20.0,False,True,forearm_camera
small,11,wrist_camera,1.0,0.2,False,,False,False,
small,12,upper_arm_camera,1.0,0.2,False,,False,False,
small,13,forearm_camera,1.0,0.2,False,,False,False,
small,14,wrist_camera,1.0,0.2,True,19.0,False,True,wrist_camera
small,15,upper_arm_camera,1.0,0.2,False,,False,False,
small,16,forearm_camera,1.0,0.2,False,,False,False,
small,17,wrist_camera,1.0,0.2,False,,False,False,
small,18,upper_arm_camera,1.0,0.2,True,25.0,False,True,upper_arm_camera
small,19,forearm_camera,1.0,0.2,False,,False,False,
medium,0,upper_arm_camera,3.0,0.5,True,0.0,False,True,upper_arm_camera
medium,1,forearm_camera,3.0,0.5,True,0.0,False,True,forearm_camera
medium,2,wrist_camera,3.0,0.5,True,0.0,False,True,wrist_camera
medium,3,upper_arm_camera,3.0,0.5,True,0.0,False,True,upper_arm_camera
medium,4,forearm_camera,3.0,0.5,True,0.0,False,True,forearm_camera
medium,5,wrist_camera,3.0,0.5,True,0.0,False,True,wrist_camera
medium,6,upper_arm_camera,3.0,0.5,True,3.0,False,True,upper_arm_camera
medium,7,forearm_camera,3.0,0.5,True,0.0,False,True,forearm_camera
medium,8,wrist_camera,3.0,0.5,True,0.0,False,True,wrist_camera
medium,9,upper_arm_camera,3.0,0.5,True,0.0,False,False,forearm_camera
medium,10,forearm_camera,3.0,0.5,True,0.0,False,True,forearm_camera
medium,11,wrist_camera,3.0,0.5,True,0.0,False,True,wrist_camera
medium,12,upper_arm_camera,3.0,0.5,True,5.0,False,True,upper_arm_camera
medium,13,forearm_camera,3.0,0.5,True,0.0,False,True,forearm_camera
medium,14,wrist_camera,3.0,0.5,True,0.0,False,True,wrist_camera
medium,15,upper_arm_camera,3.0,0.5,True,0.0,False,True,upper_arm_camera
medium,16,forearm_camera,3.0,0.5,True,0.0,False,True,forearm_camera
medium,17,wrist_camera,3.0,0.5,True,0.0,False,True,wrist_camera
medium,18,upper_arm_camera,3.0,0.5,True,0.0,False,True,upper_arm_camera
medium,19,forearm_camera,3.0,0.5,True,0.0,False,True,forearm_camera
large,0,upper_arm_camera,8.0,1.5,True,0.0,False,True,upper_arm_camera
large,1,forearm_camera,8.0,1.5,True,0.0,False,True,forearm_camera
large,2,wrist_camera,8.0,1.5,True,0.0,False,True,wrist_camera
large,3,upper_arm_camera,8.0,1.5,True,0.0,False,True,upper_arm_camera
large,4,forearm_camera,8.0,1.5,True,0.0,False,True,forearm_camera
large,5,wrist_camera,8.0,1.5,True,0.0,False,True,wrist_camera
large,6,upper_arm_camera,8.0,1.5,True,0.0,False,True,upper_arm_camera
large,7,forearm_camera,8.0,1.5,True,0.0,False,True,forearm_camera
large,8,wrist_camera,8.0,1.5,True,0.0,False,True,wrist_camera
large,9,upper_arm_camera,8.0,1.5,True,0.0,False,True,upper_arm_camera
large,10,forearm_camera,8.0,1.5,True,0.0,False,True,forearm_camera
large,11,wrist_camera,8.0,1.5,True,0.0,False,True,wrist_camera
large,12,upper_arm_camera,8.0,1.5,True,0.0,False,True,upper_arm_camera
large,13,forearm_camera,8.0,1.5,True,0.0,False,True,forearm_camera
large,14,wrist_camera,8.0,1.5,True,0.0,False,True,wrist_camera
large,15,upper_arm_camera,8.0,1.5,True,0.0,False,True,upper_arm_camera
large,16,forearm_camera,8.0,1.5,True,0.0,False,True,forearm_camera
large,17,wrist_camera,8.0,1.5,True,0.0,False,True,wrist_camera
large,18,upper_arm_camera,8.0,1.5,True,0.0,False,True,upper_arm_camera
large,19,forearm_camera,8.0,1.5,True,0.0,False,True,forearm_camera
